First Name,Last Name,Email,Password,Role,Organisation,Language
Admin,JUH,juh_admin@example.com,eden,"ORG_GROUP_ADMIN/0, NEWSLETTER_AUTHOR/0,STAFF",Johanniter-Unfall-Hilfe,de
Admin,LUK RD,rd_admin@example.com,eden,"ORG_ADMIN, SHELTER_ADMIN, STAFF",Betreuungsverband LUK Rendsburg,de
Case Admin,LUK RD,rd_case_admin@example.com,eden,"CASE_ADMIN, SHELTER_MANAGER, STAFF",Betreuungsverband LUK Rendsburg,de
Case Manager,LUK RD,rd_case_manager@example.com,eden,"CASE_MANAGER, CHECKPOINT, STAFF",Betreuungsverband LUK Rendsburg,de
Case Assistant,LUK RD,rd_case_assistant@example.com,eden,"CASE_ASSISTANT, CHECKPOINT, STAFF",Betreuungsverband LUK Rendsburg,de
Quartermaster,LUK RD,rd_quartermaster@example.com,eden,"QUARTERMASTER, STAFF",Betreuungsverband LUK Rendsburg,de
Janitor,LUK RD,rd_janitor@example.com,eden,"JANITOR, STAFF",Betreuungsverband LUK Rendsburg,de
Security,LUK RD,rd_security@example.com,eden,"SECURITY, STAFF",Betreuungsverband LUK Rendsburg,de
Checkpoint,LUK RD,rd_checkpoint@example.com,eden,"CHECKPOINT, STAFF",Betreuungsverband LUK Rendsburg,de
Admin,FHE,fhe_admin@example.com,eden,"ORG_ADMIN, STAFF",Flüchtlingshilfe Essen,de
Case Manager,FHE,fhe_case_manager@example.com,eden,"CASE_ADMIN, STAFF",Flüchtlingshilfe Essen,de
